id,nombre,edad,nacionalidad,rating,club,valor,id_perfil,numero_jersey,altura,peso,carrera,conclusion,efectividad_cabeza,pases_cortos,voleas,dribling,pases_largos,control_balon,aceleración,agilidad,poder_tiro,salto,actitud,poder,tiros_largos,agresividad,posicionamiento,visión,penalties
16,H. Kane,24,England,89,Tottenham Hotspur,83.5,0,9.0,188.0,88.0,75.0,94.0,85.0,80.0,84.0,80.0,82.0,84.0,68.0,71.0,88.0,78.0,89.0,84.0,85.0,76.0,93.0,80.0,90.0
17,A. Griezmann,27,France,89,Atlético Madrid,78.0,1,7.0,179.0,73.0,82.0,90.0,84.0,83.0,87.0,88.0,76.0,90.0,88.0,90.0,80.0,90.0,83.0,62.0,82.0,69.0,91.0,83.0,79.0
18,M. ter Stegen,26,Germany,89,FC Barcelona,58.0,0,22.0,188.0,84.0,15.0,14.0,11.0,36.0,14.0,17.0,42.0,18.0,38.0,37.0,22.0,79.0,35.0,79.0,10.0,43.0,11.0,69.0,25.0
19,T. Courtois,26,Belgium,89,Real Madrid,53.5,1,1.0,201.0,96.0,14.0,14.0,13.0,33.0,12.0,13.0,35.0,23.0,46.0,61.0,36.0,68.0,38.0,70.0,17.0,23.0,13.0,44.0,27.0
20,Sergio Busquets,29,Spain,89,FC Barcelona,51.5,0,5.0,188.0,76.0,62.0,67.0,68.0,89.0,44.0,80.0,82.0,88.0,50.0,66.0,61.0,66.0,86.0,77.0,54.0,85.0,77.0,87.0,60.0
21,E. Cavani,31,Uruguay,89,Paris Saint-Germain,60.0,0,21.0,185.0,77.0,70.0,89.0,89.0,78.0,90.0,80.0,52.0,82.0,75.0,77.0,87.0,88.0,92.0,78.0,79.0,84.0,93.0,77.0,85.0
22,M. Neuer,32,Germany,89,FC Bayern München,38.0,0,1.0,195.0,92.0,15.0,13.0,25.0,55.0,11.0,30.0,59.0,48.0,54.0,51.0,25.0,77.0,43.0,80.0,16.0,29.0,12.0,70.0,47.0
23,S. Agüero,30,Argentina,89,Manchester City,64.5,0,10.0,176.0,69.0,70.0,93.0,77.0,81.0,85.0,89.0,64.0,89.0,88.0,86.0,88.0,81.0,76.0,73.0,83.0,65.0,92.0,83.0,83.0
24,G. Chiellini,33,Italy,89,Juventus,27.0,1,3.0,188.0,84.0,58.0,33.0,83.0,59.0,45.0,58.0,59.0,57.0,63.0,54.0,78.0,89.0,65.0,89.0,49.0,92.0,28.0,50.0,50.0
25,K. Mbappé,19,France,88,Paris Saint-Germain,81.0,0,10.0,155.0,73.0,77.0,88.0,77.0,82.0,78.0,90.0,73.0,91.0,96.0,92.0,79.0,75.0,83.0,71.0,78.0,62.0,88.0,82.0,70.0
26,M. Salah,26,Egypt,88,Liverpool,69.5,1,10.0,179.0,71.0,78.0,90.0,59.0,82.0,73.0,89.0,72.0,88.0,94.0,91.0,77.0,68.0,84.0,70.0,83.0,63.0,90.0,82.0,61.0
27,Casemiro,26,Brazil,88,Real Madrid,59.5,0,14.0,185.0,83.0,52.0,59.0,76.0,85.0,53.0,69.0,82.0,78.0,59.0,62.0,86.0,88.0,87.0,89.0,79.0,87.0,69.0,77.0,66.0
28,J. Rodríguez,26,Colombia,88,FC Bayern München,69.5,1,10.0,155.0,78.0,90.0,83.0,62.0,89.0,90.0,85.0,83.0,90.0,73.0,83.0,86.0,54.0,70.0,68.0,92.0,64.0,80.0,89.0,81.0
29,L. Insigne,27,Italy,88,Napoli,62.0,0,10.0,164.0,58.0,86.0,77.0,56.0,85.0,74.0,90.0,78.0,93.0,94.0,94.0,75.0,53.0,75.0,44.0,84.0,34.0,83.0,87.0,61.0
30,Isco,26,Spain,88,Real Madrid,73.5,0,22.0,179.0,78.0,75.0,79.0,55.0,89.0,65.0,94.0,83.0,95.0,75.0,87.0,69.0,64.0,70.0,59.0,87.0,58.0,78.0,89.0,76.0
31,C. Eriksen,26,Denmark,88,Tottenham Hotspur,73.5,0,10.0,155.0,76.0,88.0,80.0,52.0,91.0,77.0,84.0,88.0,91.0,75.0,79.0,84.0,50.0,92.0,58.0,89.0,46.0,83.0,91.0,67.0
32,Coutinho,26,Brazil,88,FC Barcelona,69.5,0,7.0,176.0,68.0,79.0,79.0,48.0,88.0,75.0,91.0,83.0,92.0,89.0,92.0,83.0,59.0,79.0,61.0,93.0,59.0,84.0,90.0,70.0
33,P. Aubameyang,29,Gabon,88,Arsenal,59.0,0,14.0,188.0,79.0,77.0,88.0,79.0,77.0,86.0,79.0,64.0,82.0,93.0,76.0,82.0,79.0,76.0,76.0,79.0,43.0,90.0,77.0,76.0
34,M. Hummels,29,Germany,88,FC Bayern München,46.0,0,5.0,192.0,92.0,64.0,55.0,87.0,81.0,60.0,68.0,85.0,81.0,53.0,63.0,71.0,68.0,66.0,84.0,51.0,69.0,56.0,79.0,68.0
35,Marcelo,30,Brazil,88,Real Madrid,43.0,1,12.0,179.0,79.0,90.0,70.0,75.0,84.0,54.0,90.0,76.0,92.0,83.0,86.0,83.0,76.0,91.0,78.0,70.0,84.0,85.0,82.0,59.0
36,G. Bale,28,Wales,88,Real Madrid,60.0,1,11.0,185.0,82.0,87.0,86.0,84.0,85.0,85.0,87.0,80.0,85.0,94.0,82.0,92.0,87.0,75.0,80.0,91.0,65.0,85.0,79.0,76.0
37,H. Lloris,31,France,88,Tottenham Hotspur,36.0,1,1.0,188.0,82.0,13.0,10.0,10.0,50.0,11.0,10.0,50.0,34.0,65.0,55.0,23.0,74.0,41.0,43.0,14.0,31.0,10.0,30.0,40.0
38,G. Higuaín,30,Argentina,88,Milan,57.0,0,9.0,185.0,88.0,68.0,92.0,80.0,75.0,90.0,84.0,59.0,85.0,73.0,75.0,86.0,79.0,70.0,85.0,80.0,50.0,92.0,74.0,70.0
39,Thiago Silva,33,Brazil,88,Paris Saint-Germain,24.0,0,2.0,182.0,82.0,60.0,38.0,81.0,80.0,63.0,62.0,80.0,80.0,70.0,68.0,71.0,90.0,74.0,82.0,68.0,76.0,59.0,72.0,60.0
40,S. Handanovič,33,Slovenia,88,Inter,30.0,0,1.0,195.0,92.0,12.0,10.0,10.0,36.0,12.0,12.0,34.0,16.0,51.0,47.0,22.0,78.0,41.0,71.0,19.0,25.0,12.0,41.0,23.0
41,G. Buffon,40,Italy,88,Paris Saint-Germain,4.0,0,1.0,195.0,92.0,13.0,15.0,13.0,37.0,17.0,26.0,35.0,28.0,49.0,55.0,39.0,75.0,39.0,69.0,13.0,38.0,12.0,50.0,22.0
42,S. Umtiti,24,France,87,FC Barcelona,57.0,1,23.0,182.0,74.0,69.0,51.0,79.0,81.0,70.0,69.0,73.0,77.0,71.0,68.0,83.0,89.0,78.0,84.0,74.0,81.0,58.0,58.0,61.0
43,M. Icardi,25,Argentina,87,Inter,64.5,0,9.0,155.0,74.0,46.0,91.0,91.0,73.0,85.0,77.0,54.0,81.0,77.0,76.0,84.0,94.0,72.0,76.0,70.0,56.0,92.0,64.0,82.0
44,K. Koulibaly,27,Senegal,87,Napoli,51.0,0,26.0,188.0,88.0,30.0,19.0,81.0,66.0,14.0,66.0,56.0,60.0,68.0,50.0,55.0,81.0,71.0,94.0,15.0,87.0,24.0,43.0,33.0
45,P. Pogba,25,France,87,Manchester United,64.0,0,6.0,195.0,83.0,80.0,73.0,73.0,86.0,85.0,87.0,90.0,90.0,71.0,74.0,90.0,83.0,88.0,89.0,81.0,78.0,81.0,87.0,81.0
46,K. Navas,31,Costa Rica,87,Real Madrid,30.5,0,1.0,185.0,79.0,11.0,15.0,11.0,30.0,11.0,16.0,37.0,19.0,54.0,60.0,21.0,74.0,39.0,75.0,13.0,32.0,16.0,68.0,25.0
47,R. Lukaku,25,Belgium,87,Manchester United,62.5,1,9.0,192.0,93.0,78.0,87.0,86.0,77.0,79.0,80.0,73.0,72.0,77.0,60.0,88.0,71.0,84.0,94.0,74.0,75.0,89.0,76.0,78.0
48,C. Immobile,28,Italy,87,Lazio,52.0,0,17.0,185.0,84.0,55.0,90.0,81.0,74.0,87.0,83.0,49.0,83.0,78.0,77.0,86.0,77.0,80.0,76.0,80.0,77.0,91.0,65.0,78.0
49,Jordi Alba,29,Spain,87,FC Barcelona,38.0,1,18.0,173.0,68.0,87.0,73.0,70.0,84.0,60.0,80.0,74.0,84.0,93.0,90.0,64.0,81.0,91.0,61.0,66.0,75.0,79.0,70.0,59.0
50,D. Mertens,31,Belgium,87,Napoli,45.0,0,14.0,173.0,60.0,77.0,86.0,35.0,82.0,70.0,91.0,74.0,89.0,93.0,94.0,80.0,60.0,75.0,42.0,81.0,59.0,87.0,83.0,79.0
51,J. Vertonghen,31,Belgium,87,Tottenham Hotspur,34.0,1,5.0,188.0,86.0,68.0,56.0,80.0,79.0,52.0,71.0,74.0,76.0,61.0,61.0,80.0,85.0,75.0,79.0,66.0,84.0,60.0,68.0,66.0
52,M. Hamšík,30,Slovakia,87,Napoli,46.5,0,17.0,182.0,78.0,78.0,79.0,74.0,88.0,79.0,86.0,83.0,87.0,69.0,76.0,82.0,71.0,84.0,67.0,83.0,56.0,88.0,86.0,70.0
53,I. Rakitić,30,Croatia,87,FC Barcelona,46.5,0,4.0,182.0,78.0,84.0,83.0,58.0,87.0,80.0,84.0,90.0,87.0,66.0,72.0,84.0,39.0,84.0,66.0,90.0,67.0,79.0,86.0,82.0
54,Piqué,31,Spain,87,FC Barcelona,34.0,0,3.0,195.0,84.0,57.0,64.0,83.0,81.0,57.0,59.0,80.0,78.0,49.0,58.0,62.0,74.0,65.0,83.0,51.0,72.0,58.0,62.0,69.0
55,L. Sané,22,Germany,86,Manchester City,61.0,1,19.0,182.0,74.0,83.0,81.0,72.0,79.0,85.0,88.0,64.0,85.0,93.0,88.0,86.0,64.0,79.0,70.0,78.0,61.0,84.0,82.0,71.0
56,Bernardo Silva,23,Portugal,86,Manchester City,59.5,1,11.0,176.0,63.0,85.0,75.0,51.0,85.0,69.0,92.0,79.0,91.0,84.0,90.0,70.0,50.0,78.0,48.0,72.0,58.0,83.0,86.0,68.0
57,Ederson,24,Brazil,86,Manchester City,41.5,1,31.0,188.0,86.0,20.0,14.0,14.0,56.0,18.0,23.0,58.0,37.0,64.0,60.0,42.0,58.0,41.0,68.0,18.0,35.0,20.0,67.0,17.0
58,S. Mané,26,Senegal,86,Liverpool,52.0,0,10.0,179.0,68.0,73.0,84.0,62.0,79.0,71.0,87.0,71.0,86.0,95.0,91.0,82.0,75.0,84.0,67.0,74.0,73.0,87.0,82.0,71.0
59,V. van Dijk,26,Netherlands,86,Liverpool,44.5,0,4.0,195.0,92.0,53.0,52.0,82.0,76.0,45.0,70.0,78.0,73.0,74.0,61.0,81.0,85.0,71.0,92.0,64.0,81.0,41.0,59.0,62.0
60,R. Sterling,23,England,86,Manchester City,56.5,0,10.0,173.0,68.0,77.0,77.0,38.0,84.0,67.0,88.0,69.0,87.0,95.0,93.0,73.0,57.0,78.0,52.0,73.0,38.0,87.0,77.0,69.0
61,Roberto Firmino,26,Brazil,86,Liverpool,53.0,0,9.0,155.0,76.0,72.0,87.0,77.0,86.0,81.0,87.0,75.0,88.0,78.0,80.0,81.0,81.0,90.0,74.0,76.0,73.0,87.0,85.0,72.0
62,R. Varane,25,France,86,Real Madrid,50.0,0,4.0,192.0,81.0,36.0,40.0,83.0,75.0,42.0,57.0,76.0,77.0,83.0,63.0,52.0,79.0,73.0,84.0,53.0,77.0,44.0,56.0,43.0
63,M. Verratti,25,Italy,86,Paris Saint-Germain,55.0,0,6.0,167.0,59.0,72.0,60.0,55.0,90.0,64.0,90.0,89.0,88.0,69.0,87.0,56.0,64.0,77.0,52.0,58.0,89.0,71.0,87.0,64.0
64,Alex Sandro,27,Brazil,86,Juventus,36.5,1,12.0,155.0,79.0,84.0,55.0,76.0,81.0,68.0,80.0,71.0,81.0,83.0,79.0,80.0,79.0,92.0,79.0,72.0,82.0,70.0,70.0,60.0
65,Douglas Costa,27,Brazil,86,Juventus,46.5,1,11.0,176.0,69.0,84.0,67.0,50.0,84.0,76.0,92.0,68.0,91.0,97.0,93.0,86.0,61.0,78.0,63.0,80.0,55.0,76.0,84.0,77.0
66,T. Müller,28,Germany,86,FC Bayern München,45.0,0,13.0,185.0,74.0,79.0,87.0,82.0,83.0,84.0,75.0,72.0,82.0,73.0,75.0,78.0,81.0,87.0,68.0,80.0,57.0,92.0,85.0,60.0
67,Thiago,27,Spain,86,FC Bayern München,45.5,0,19.0,179.0,69.0,72.0,69.0,54.0,90.0,90.0,90.0,87.0,90.0,78.0,90.0,75.0,75.0,75.0,59.0,79.0,57.0,79.0,86.0,75.0
68,M. Reus,29,Germany,86,Borussia Dortmund,43.5,0,11.0,155.0,71.0,79.0,87.0,49.0,86.0,90.0,87.0,75.0,86.0,86.0,86.0,88.0,70.0,73.0,67.0,86.0,49.0,88.0,86.0,89.0
69,Azpilicueta,28,Spain,86,Chelsea,35.0,0,14.0,155.0,76.0,81.0,46.0,76.0,81.0,51.0,69.0,80.0,77.0,76.0,72.0,68.0,76.0,87.0,71.0,60.0,82.0,62.0,74.0,66.0
70,L. Bonucci,31,Italy,86,Juventus,30.0,0,19.0,192.0,84.0,44.0,48.0,86.0,77.0,58.0,69.0,85.0,75.0,57.0,60.0,74.0,85.0,71.0,83.0,65.0,82.0,38.0,74.0,70.0
71,T. Alderweireld,29,Belgium,86,Tottenham Hotspur,39.0,0,2.0,185.0,81.0,64.0,45.0,82.0,79.0,38.0,62.0,85.0,74.0,61.0,60.0,78.0,84.0,74.0,79.0,65.0,80.0,58.0,67.0,58.0
72,M. Pjanić,28,Bosnia Herzegovina,86,Juventus,44.0,0,5.0,155.0,72.0,80.0,60.0,60.0,89.0,72.0,86.0,85.0,89.0,66.0,77.0,78.0,61.0,78.0,66.0,82.0,70.0,70.0,88.0,79.0
73,M. Benatia,31,Morocco,86,Juventus,30.0,0,4.0,188.0,93.0,45.0,47.0,83.0,65.0,44.0,64.0,65.0,64.0,65.0,59.0,66.0,85.0,69.0,91.0,24.0,86.0,38.0,47.0,41.0
74,M. Özil,29,Germany,86,Arsenal,43.5,1,10.0,155.0,76.0,83.0,73.0,54.0,89.0,80.0,84.0,82.0,90.0,72.0,79.0,70.0,48.0,69.0,57.0,75.0,48.0,83.0,91.0,67.0
75,Fernandinho,33,Brazil,86,Manchester City,18.0,0,25.0,155.0,67.0,68.0,69.0,63.0,85.0,74.0,77.0,81.0,82.0,68.0,72.0,83.0,76.0,79.0,76.0,78.0,87.0,70.0,75.0,61.0
76,Iniesta,34,Spain,86,Vissel Kobe,21.5,0,8.0,173.0,68.0,77.0,70.0,54.0,90.0,74.0,90.0,85.0,92.0,70.0,79.0,65.0,47.0,55.0,58.0,71.0,58.0,81.0,93.0,71.0
